Shi Taijun;Jia Baoyu;418.0
Lin Daiyu;Jia Baoyu;368.0
Shi Taijun;Wang Xifeng;336.0
Xue Baochai;Jia Baoyu;285.0
Shi Taijun;Wang Furen;284.0
Xi Ren;Jia Baoyu;284.0
Wang Furen;Jia Baoyu;264.0
Shi Taijun;Lin Daiyu;251.0
Wang Xifeng;Jia Baoyu;229.0
Lin Daiyu;Xue Baochai;226.0
Wang Furen;Wang Xifeng;214.0
Shi Taijun;Xue Baochai;194.0
Jia Baoyu;Jia Zheng;169.0
Wang Furen;Xue Baochai;154.0
Shi Taijun;Xi Ren;144.0
Ping Er;Wang Xifeng;142.0
Shi Taijun;Jia Zheng;135.0
Li Wan;Jia Baoyu;133.0
Shi Taijun;Li Wan;127.0
Lin Daiyu;Wang Xifeng;126.0
Shi Taijun;Jia Lian;124.0
Wang Xifeng;Jia Lian;123.0
Shi Xiangyun;Lin Daiyu;121.0
Wang Xifeng;Xue Baochai;119.0
Shi Taijun;Xue Yima;119.0
Lin Daiyu;Wang Furen;118.0
Xue Baochai;Xi Ren;117.0
Shi Taijun;Xing Furen;114.0
Wang Furen;Jia Zheng;112.0
Lin Daiyu;Xi Ren;112.0
Li Wan;Wang Xifeng;112.0
Li Wan;Xue Baochai;111.0
Wang Furen;Xing Furen;108.0
Jia Baoyu;Jia Tanchun;106.0
Shi Taijun;Yuan Yang;103.0
Xue Yima;Xue Baochai;102.0
Qing Wen;Jia Baoyu;101.0
Shi Xiangyun;Jia Baoyu;101.0
Wang Furen;Xi Ren;100.0
Lin Daiyu;Zi Juan;100.0
Wang Furen;Xue Yima;98.0
Xue Yima;Jia Baoyu;95.0
Li Wan;Lin Daiyu;95.0
Wang Xifeng;Xing Furen;92.0
Shi Taijun;Shi Xiangyun;91.0
Li Wan;Jia Tanchun;91.0
Shi Xiangyun;Xue Baochai;90.0
Shi Taijun;Ping Er;90.0
Shi Taijun;Jia Tanchun;90.0
Shi Taijun;Jia She;90.0
Jia Baoyu;She Yue;90.0
Lin Daiyu;Jia Tanchun;89.0
Zi Juan;Jia Baoyu;89.0
Xue Baochai;Jia Tanchun;88.0
Jia Baoyu;Jia Lian;86.0
Li Wan;Wang Furen;86.0
Wang Furen;Jia Lian;81.0
Jia Zheng;Jia Lian;79.0
Qing Wen;Xi Ren;78.0
You Shi;Wang Xifeng;77.0
Shi Taijun;Jia Zhen;77.0
Shi Taijun;You Shi;76.0
Xi Ren;She Yue;75.0
Wang Xifeng;Yuan Yang;71.0
Ping Er;Jia Lian;71.0
Jia Zheng;Jia She;70.0
Jia Baoyu;Xing Furen;70.0
Wang Xifeng;Xi Ren;70.0
Wang Xifeng;Xue Yima;70.0
Ping Er;Jia Baoyu;69.0
Jia Baoyu;Jia Huan;68.0
Jia Baoyu;Yuan Yang;67.0
Jia Zhen;Jia Rong;65.0
Jia Baoyu;Jia She;65.0
Wang Furen;Yuan Yang;63.0
Wang Xifeng;Jia Zheng;62.0
Jia Baoyu;Jia Zhen;62.0
Wang Xifeng;Jia Tanchun;61.0
Lin Daiyu;Xue Yima;60.0
Wang Xifeng;Jia Zhen;60.0
Zhou Rui;Zhou Ruijiade;60.0
Shi Taijun;Jia Xichun;58.0
Wang Furen;Jia She;58.0
Jia Baoyu;Jia Xichun;57.0
You Shi;Wang Furen;57.0
Shi Taijun;Jia Rong;57.0
Ping Er;Li Wan;56.0
Jia Lan;Jia Baoyu;55.0
